Trip.Miles	Fare	Date	Trip.Min	Trip.ID	Hour	Time
0.8	5.75	01/05(Thu.)	5.0	e0a7e0af8ba3230f483c735cb372219acb5faa80	12	Afternoon
19.8	49.5	01/07(Sat.)	36.0	0a395b7b5eab5e1add526f4e8e5c5876ec12e50c	13	Afternoon
4.9	14.25	01/03(Tue.)	9.0	86897be1c6952fef752f4ef86b81c46cd9372b59	14	Afternoon
0.72	5.5	01/03(Tue.)	5.0	9a874a0d3d040783d327bed32178f534c9f7264a	13	Afternoon
7.0	19.5	01/01(Sun.)	13.0	d6561ba2892547177d9307245f6d9c28663ff82d	0	Night
0.1	10.5	01/04(Wed.)	15.0	8cda2d64110ba455babc82fadf7ad8d6a9a64913	18	Evening
2.7	10.0	01/06(Fri.)	10.0	e132d1c3324aa26d2dc7b79425c881f64548ea07	15	Afternoon
18.7	48.0	01/04(Wed.)	45.0	b34a4a99eae24d01060027de33b8fb3580135ce8	18	Evening
8.9	26.75	01/04(Wed.)	33.0	0ee48c262c77bae531b3c8ec19b04241f3424a37	16	Afternoon
1.5	9.0	01/04(Wed.)	14.0	7b4df5a05dc130ee5cab0ec2b8cc65d060947a5c	16	Afternoon
0.0	6.25	01/04(Wed.)	6.0	43b3d8320cdc8b40382166d894b150af4a3ce1b2	13	Afternoon
0.9	5.5	01/01(Sun.)	4.0	32af15335a251079b5b6d62e0930416842b84de6	11	Morning
1.0	5.75	01/06(Fri.)	5.0	98426ab7c39ad4bf0eb91b20c1f91a5e0d460c82	23	Evening
18.0	70.75	01/02(Mon.)	101.0	8d97653d073bbac3235fa75a99b28a9ca64d3ee3	21	Evening
0.5	4.75	01/03(Tue.)	2.0	2594c31403ec6ec399780d8af8d88591e76e337c	8	Morning
0.49	4.75	01/03(Tue.)	2.88333333333	316741e1b33414a1bc02b74e4be4008fda271333	23	Evening
1.2	6.5	01/07(Sat.)	6.0	cda9ab200ca738c2e6784c3a8af2deea31896f33	11	Morning
0.6	30.75	01/04(Wed.)	27.0	634f94462816d89729b67be1abe790c4acd20483	18	Evening
0.0	8.0	01/06(Fri.)	11.0	5d336da976020c1f14a3b447e2e0576135bd25d5	19	Evening
0.6	5.25	01/07(Sat.)	5.0	eb3b893e557bc9b7e2ec285c1df3cf751f2f1093	20	Evening
0.4	5.5	01/05(Thu.)	5.0	e72a1cff7530e9cd79f51845678f5a1fd69d2558	12	Afternoon
1.9	9.5	01/05(Thu.)	13.0	72860ed5ec36d612f54da900618add387aa0572b	9	Morning
0.0	4.5	01/04(Wed.)	5.0	0170192918543bd66ae92045cfff466b0aeec4c3	19	Evening
0.7	5.25	01/03(Tue.)	5.0	c7df76b2b93dcc55799bb38e3f2a2343a7c9083a	12	Afternoon
0.0	7.25	01/07(Sat.)	8.0	740773f0001c715f661b0bfeb698ce2c0eb11e2b	15	Afternoon
0.5	4.75	01/04(Wed.)	4.0	12a91945b6555196f941bcbf9b0e43241c71f494	12	Afternoon
0.0	4.75	01/07(Sat.)	47.2333333333	68b05b65ec26b25e7426e208d9c5c22f5969cbcf	23	Evening
1.1	7.0	01/05(Thu.)	9.0	51d4a79b3fc1232a52af6cacd6984a46327b8276	12	Afternoon
1.8	9.25	01/06(Fri.)	12.0	51fc7334fe999f8a788a6121e47c111503c3007f	12	Afternoon
0.5	5.25	01/05(Thu.)	5.0	86e5dc399616af8a757e789b22d7098c191adef0	9	Morning
5.2	16.75	01/05(Thu.)	19.0	6bc7d523f05af1b0b0db36e2a0ed08b222212e0c	18	Evening
18.88	48.5	01/05(Thu.)	39.9833333333	0942df542e9688342b7572b57e51024f9d5ffe15	12	Afternoon
1.6	8.25	01/07(Sat.)	11.0	7832211cfc0f9300a528cc7dd531e376c96837e2	20	Evening
0.9	6.75	01/06(Fri.)	8.0	8eb5be61e008623e80fa0b254b9aec6fba568ae1	17	Afternoon
0.5	4.5	01/06(Fri.)	3.0	928f081928af977e54051e4309d1b9eea28a689d	15	Afternoon
2.3	12.75	01/06(Fri.)	21.0	e9b75f64cdad38ac6ab9980c72983359f1f977d1	2	Night
0.0	8.25	01/05(Thu.)	10.0	1b72c003cbf5f1044043ed3d58fe3880b4a77cdc	9	Morning
0.0	4.0	01/07(Sat.)	2.0	5ab2a746f2c7c3d5a60ba7c963d5a173a6dcdc90	10	Morning
2.1	9.5	01/07(Sat.)	13.0	43c29f7aadb2b706da89eda88344ebb541407b04	20	Evening
2.5	9.5	01/01(Sun.)	9.0	985eb355f65122efb405f94b4bc0134eb62ef6eb	17	Afternoon
4.3	14.0	01/03(Tue.)	14.0	c5b9d40dff4196191b316adce8fce4aefcce65b3	23	Evening
1.3	8.0	01/07(Sat.)	12.0	ea037448b970ef624442dd3d9e4e231616becc15	17	Afternoon
1.03	7.75	01/06(Fri.)	12.0	8d10b91666321104eab6a9ca61c42ebb2beb848e	9	Morning
2.3	9.0	01/07(Sat.)	9.0	c422ccd84c4990f37ad6cbff15baf66be5477290	1	Night
4.6	15.25	01/06(Fri.)	15.0	f83331c5dba44791510c8fe874f0c7ae5be55121	23	Evening
1.1	7.0	01/06(Fri.)	8.0	6c2ba27ebd55e1adec41b7a94f2e35b3fc3ecbd8	16	Afternoon
0.0	7.75	01/06(Fri.)	11.0	efd11e0765acb3bd9054153176dfe8fd11ebb144	10	Morning
1.4	7.0	01/04(Wed.)	6.0	1ebbc51403d6d548dd8465ac617ddd73a4d65fd5	19	Evening
1.7	9.0	01/04(Wed.)	13.0	20e34f1086bd1c248990bc49da83701f30a24f9c	9	Morning
0.6	4.75	01/06(Fri.)	2.86666666667	11a34094703ce4cf2c58e0cf31db6e48a8163bfc	16	Afternoon
0.7	5.25	01/03(Tue.)	5.0	78042dc666a4e2b169b640c664b29f4137d5215d	10	Morning
0.0	18.0	01/07(Sat.)	12.0	9f60fee16e7abd48bb1c8028a8e8cfc975bad218	7	Morning
1.1	6.75	01/06(Fri.)	8.0	a3d112d22784a8deb1331a5fb3ae0113651f5060	9	Morning
0.0	7.25	01/04(Wed.)	8.0	adc4e9e83cf0e3eccbcea8a1e5a2a6d2d8347c9f	17	Afternoon
18.93	47.25	01/01(Sun.)	9.966667	276a04a2682a252543bd86896e89eaff5eecbb01	13	Afternoon
1.8	8.5	01/05(Thu.)	9.0	eddfaa415b4815082c4d6232bcbe1731b15b25c5	21	Evening
