state,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31
New York,3879.0,4559.0,3699.0,2524.0,2302.0,2746.0,3526.0,2873.0,2715.0,2138.0,1610.0,1438.0,2123.0,2364.0,2759.0,2185.0,1901.0,1241.0,1479.0,1478.0,2078.0,1678.0,1754.0,1601.0,1279.0,1044.0,1132.0,1758.0,1549.0,1363.0,1104.0
North Carolina,415.0,592.0,154.0,203.0,412.0,500.0,648.0,448.0,508.0,396.0,286.0,333.0,448.0,743.0,597.0,819.0,528.0,584.0,641.0,459.0,713.0,727.0,1070.0,500.0,766.0,191.0,599.0,829.0,1119.0,1026.0,925.0
North Dakota,40.0,46.0,38.0,34.0,41.0,57.0,48.0,54.0,39.0,27.0,27.0,53.0,76.0,65.0,49.0,87.0,52.0,31.0,63.0,101.0,134.0,88.0,48.0,53.0,39.0,0.0,20.0,42.0,39.0,34.0,23.0
Northern Mariana Islands,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ohio,716.0,592.0,579.0,560.0,495.0,607.0,555.0,887.0,679.0,389.0,699.0,472.0,470.0,636.0,593.0,520.0,449.0,530.0,498.0,484.0,731.0,627.0,613.0,503.0,566.0,529.0,433.0,476.0,651.0,468.0,479.0
Oklahoma,130.0,103.0,121.0,72.0,83.0,74.0,129.0,94.0,66.0,99.0,24.0,118.0,121.0,110.0,124.0,151.0,73.0,88.0,91.0,43.0,148.0,169.0,111.0,77.0,53.0,47.0,92.0,41.0,68.0,80.0,88.0
Oregon,69.0,56.0,45.0,79.0,80.0,77.0,73.0,79.0,92.0,68.0,58.0,73.0,57.0,63.0,62.0,71.0,11.0,64.0,39.0,75.0,16.0,47.0,24.0,39.0,22.0,18.0,71.0,48.0,45.0,54.0,58.0
Pennsylvania,1540.0,1307.0,1008.0,913.0,975.0,1022.0,1160.0,1352.0,1160.0,1376.0,520.0,850.0,787.0,964.0,1020.0,1050.0,517.0,931.0,728.0,747.0,1101.0,1053.0,797.0,554.0,700.0,517.0,773.0,666.0,761.0,716.0,429.0
Puerto Rico,36.0,182.0,51.0,69.0,49.0,44.0,63.0,125.0,17.0,25.0,58.0,43.0,30.0,98.0,115.0,47.0,57.0,64.0,95.0,61.0,47.0,117.0,70.0,89.0,71.0,64.0,73.0,89.0,161.0,71.0,58.0
Rhode Island,341.0,327.0,188.0,175.0,281.0,272.0,325.0,249.0,210.0,285.0,176.0,164.0,221.0,181.0,203.0,215.0,240.0,121.0,156.0,405.0,215.0,165.0,216.0,113.0,0.0,145.0,143.0,141.0,141.0,184.0,109.0
South Carolina,163.0,231.0,137.0,131.0,84.0,95.0,206.0,225.0,164.0,122.0,139.0,135.0,103.0,159.0,218.0,254.0,155.0,126.0,114.0,119.0,204.0,259.0,257.0,201.0,82.0,238.0,207.0,165.0,343.0,263.0,467.0
South Dakota,75.0,62.0,43.0,37.0,53.0,59.0,126.0,239.0,249.0,124.0,97.0,49.0,69.0,60.0,95.0,72.0,28.0,40.0,58.0,92.0,0.0,179.0,112.0,95.0,23.0,67.0,57.0,83.0,73.0,94.0,33.0
Tennessee,1275.0,595.0,495.0,412.0,272.0,182.0,371.0,168.0,399.0,385.0,363.0,354.0,484.0,327.0,329.0,287.0,187.0,376.0,534.0,233.0,436.0,394.0,401.0,351.0,417.0,427.0,400.0,403.0,436.0,477.0,156.0
Texas,1270.0,1091.0,866.0,835.0,1152.0,1155.0,1241.0,1261.0,906.0,1188.0,951.0,1360.0,1474.0,1347.0,1818.0,879.0,962.0,960.0,1292.0,1289.0,1072.0,928.0,1082.0,599.0,440.0,1083.0,1532.0,1715.0,1253.0,1323.0,1578.0
Utah,157.0,152.0,194.0,151.0,123.0,156.0,119.0,195.0,184.0,148.0,113.0,90.0,170.0,136.0,170.0,138.0,170.0,146.0,146.0,187.0,159.0,181.0,203.0,132.0,129.0,101.0,88.0,243.0,329.0,269.0,278.0
Vermont,13.0,7.0,11.0,5.0,5.0,1.0,8.0,3.0,2.0,5.0,0.0,1.0,2.0,3.0,1.0,1.0,6.0,0.0,4.0,0.0,6.0,2.0,2.0,2.0,6.0,5.0,4.0,3.0,1.0,2.0,4.0
Virgin Islands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Virginia,1055.0,830.0,940.0,821.0,764.0,0.0,1314.0,772.0,854.0,885.0,989.0,730.0,946.0,1067.0,859.0,1011.0,705.0,752.0,1005.0,763.0,1229.0,813.0,799.0,495.0,1483.0,1615.0,907.0,1152.0,1132.0,1078.0,996.0
Washington,320.0,249.0,560.0,104.0,187.0,639.0,314.0,290.0,152.0,152.0,391.0,210.0,110.0,369.0,270.0,205.0,178.0,242.0,232.0,122.0,170.0,246.0,214.0,249.0,276.0,273.0,287.0,266.0,286.0,241.0,196.0
West Virginia,26.0,33.0,11.0,29.0,18.0,34.0,21.0,26.0,24.0,15.0,7.0,9.0,26.0,30.0,13.0,22.0,22.0,10.0,12.0,53.0,36.0,102.0,24.0,42.0,11.0,72.0,45.0,36.0,37.0,17.0,21.0
Wisconsin,460.0,346.0,304.0,272.0,330.0,335.0,314.0,375.0,349.0,280.0,199.0,199.0,286.0,377.0,574.0,514.0,203.0,151.0,279.0,573.0,393.0,590.0,428.0,377.0,284.0,277.0,642.0,646.0,573.0,465.0,169.0
Wyoming,7.0,13.0,7.0,10.0,8.0,27.0,4.0,9.0,9.0,9.0,7.0,6.0,13.0,13.0,15.0,25.0,13.0,12.0,10.0,11.0,14.0,2.0,10.0,0.0,30.0,7.0,10.0,16.0,15.0,7.0,5.0
