state,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31
Alabama,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,11.0,6.0,10.0,12.0,27.0,28.0,25.0,26.0,39.0,46.0,144.0,152.0,101.0,81.0,110.0,117.0,52.0
Alaska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,3.0,3.0,3.0,2.0,7.0,1.0,14.0,6.0,17.0,10.0,16.0,17.0,12.0,6.0,13.0
Arizona,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,3.0,0.0,0.0,3.0,1.0,5.0,2.0,8.0,19.0,23.0,34.0,49.0,81.0,92.0,76.0,106.0,157.0,108.0,157.0,239.0,129.0
Arkansas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,1.0,2.0,7.0,6.0,0.0,11.0,29.0,38.0,18.0,47.0,36.0,30.0,76.0,43.0,35.0,24.0,40.0,59.0,56.0
California,5.0,5.0,7.0,10.0,12.0,14.0,19.0,12.0,60.0,7.0,23.0,50.0,68.0,61.0,97.0,110.0,144.0,161.0,174.0,216.0,261.0,307.0,389.0,404.0,539.0,877.0,855.0,651.0,755.0,1100.0,1162.0
Colorado,0.0,0.0,0.0,0.0,2.0,6.0,0.0,0.0,4.0,5.0,17.0,15.0,29.0,25.0,33.0,25.0,22.0,33.0,62.0,86.0,111.0,116.0,130.0,191.0,174.0,346.0,303.0,326.0,254.0,313.0,362.0
Connecticut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,3.0,5.0,9.0,6.0,15.0,27.0,28.0,63.0,35.0,29.0,104.0,88.0,203.0,257.0,137.0,279.0,233.0,469.0,578.0,557.0
Delaware,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,3.0,1.0,8.0,10.0,4.0,9.0,6.0,11.0,31.0,17.0,15.0,24.0,22.0,49.0,18.0,32.0,55.0
District of Columbia,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,6.0,0.0,0.0,6.0,1.0,5.0,9.0,5.0,3.0,32.0,6.0,21.0,18.0,21.0,46.0,48.0,36.0,37.0,38.0,59.0,94.0
Florida,2.0,0.0,1.0,0.0,1.0,3.0,5.0,1.0,1.0,9.0,3.0,20.0,24.0,0.0,39.0,32.0,69.0,116.0,108.0,130.0,200.0,236.0,222.0,245.0,504.0,507.0,720.0,840.0,905.0,752.0,1047.0
Georgia,0.0,2.0,0.0,0.0,0.0,1.0,4.0,4.0,6.0,5.0,9.0,0.0,10.0,24.0,32.0,21.0,24.0,51.0,89.0,200.0,70.0,68.0,180.0,295.0,290.0,256.0,557.0,249.0,236.0,349.0,1084.0
Guam,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,5.0,4.0,2.0,1.0,12.0,2.0,3.0,0.0,17.0,4.0,4.0,1.0,2.0,79.0
