state,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30
Alabama,109.0,162.0,265.0,97.0,208.0,165.0,192.0,301.0,340.0,170.0,254.0,321.0,222.0,148.0,288.0,163.0,168.0,151.0,180.0,175.0,249.0,283.0,222.0,194.0,187.0,208.0,118.0,211.0,175.0,143.0
Alaska,10.0,3.0,10.0,13.0,14.0,6.0,22.0,13.0,9.0,11.0,11.0,15.0,5.0,8.0,8.0,7.0,9.0,5.0,5.0,2.0,8.0,6.0,2.0,2.0,0.0,2.0,4.0,6.0,4.0,0.0
Arizona,115.0,187.0,169.0,250.0,250.0,197.0,111.0,149.0,292.0,94.0,281.0,146.0,163.0,104.0,156.0,272.0,273.0,212.0,210.0,135.0,187.0,208.0,310.0,276.0,235.0,246.0,190.0,232.0,254.0,446.0
Arkansas,60.0,59.0,55.0,5.0,110.0,74.0,70.0,80.0,69.0,56.0,26.0,52.0,195.0,23.0,101.0,21.0,75.0,82.0,4.0,190.0,291.0,130.0,207.0,211.0,99.0,92.0,68.0,58.0,80.0,74.0
California,1274.0,1333.0,1379.0,1227.0,1406.0,1159.0,1179.0,1503.0,1148.0,1175.0,1055.0,902.0,1011.0,1424.0,1349.0,1035.0,1256.0,1431.0,715.0,2318.0,1982.0,1729.0,1961.0,1834.0,1222.0,1101.0,1517.0,1362.0,2334.0,1566.0
Colorado,356.0,382.0,454.0,392.0,376.0,222.0,257.0,226.0,547.0,308.0,383.0,410.0,388.0,250.0,339.0,395.0,372.0,386.0,297.0,376.0,341.0,431.0,384.0,993.0,712.0,473.0,364.0,435.0,441.0,527.0
Connecticut,429.0,267.0,1091.0,361.0,399.0,1231.0,875.0,1000.0,1003.0,754.0,972.0,525.0,1346.0,608.0,766.0,1129.0,925.0,741.0,412.0,1853.0,545.0,2109.0,631.0,821.0,661.0,687.0,728.0,315.0,455.0,933.0
Delaware,49.0,25.0,57.0,143.0,80.0,110.0,145.0,188.0,93.0,117.0,153.0,146.0,136.0,165.0,88.0,61.0,248.0,215.0,0.0,207.0,186.0,269.0,108.0,134.0,134.0,458.0,128.0,413.0,80.0,79.0
District of Columbia,91.0,67.0,104.0,145.0,96.0,99.0,114.0,229.0,83.0,137.0,118.0,97.0,80.0,103.0,139.0,153.0,126.0,190.0,127.0,134.0,171.0,108.0,155.0,167.0,171.0,142.0,51.0,102.0,112.0,217.0
Florida,1027.0,1231.0,1260.0,1277.0,805.0,1279.0,1118.0,951.0,1129.0,1141.0,1018.0,877.0,1156.0,609.0,906.0,806.0,1413.0,739.0,822.0,744.0,811.0,440.0,1339.0,885.0,306.0,689.0,610.0,708.0,347.0,498.0
