state,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30
Georgia,631.0,697.0,523.0,416.0,359.0,816.0,1598.0,1048.0,681.0,974.0,402.0,0.0,1022.0,788.0,670.0,1061.0,1014.0,356.0,605.0,828.0,742.0,910.0,806.0,670.0,650.0,234.0,770.0,378.0,693.0,1131.0
Guam,8.0,5.0,2.0,69.0,42.0,1.0,8.0,135.0,133.0,35.0,104.0,35.0,3.0,2.0,29.0,40.0,6.0,9.0,3.0,3.0,41.0,59.0,68.0,18.0,0.0,0.0,116.0,1.0,0.0,1.0
Hawaii,34.0,25.0,34.0,32.0,20.0,16.0,23.0,25.0,7.0,23.0,21.0,13.0,5.0,9.0,13.0,11.0,12.0,21.0,6.0,4.0,2.0,6.0,4.0,5.0,2.0,2.0,1.0,2.0,3.0,4.0
Idaho,143.0,222.0,121.0,64.0,24.0,70.0,40.0,22.0,134.0,59.0,13.0,19.0,42.0,39.0,49.0,22.0,46.0,13.0,4.0,64.0,30.0,36.0,34.0,34.0,17.0,10.0,20.0,35.0,32.0,32.0
Illinois,986.0,717.0,1209.0,1453.0,919.0,986.0,1287.0,1529.0,1344.0,1465.0,1293.0,1672.0,1173.0,1222.0,1346.0,1141.0,1841.0,1585.0,1197.0,1151.0,1551.0,2049.0,1827.0,2723.0,2119.0,2126.0,1980.0,2219.0,2253.0,2563.0
Indiana,401.0,478.0,399.0,520.0,462.0,549.0,558.0,442.0,414.0,560.0,534.0,496.0,310.0,298.0,432.0,589.0,616.0,495.0,571.0,483.0,430.0,361.0,621.0,652.0,719.0,620.0,950.0,646.0,626.0,690.0
Iowa,51.0,65.0,85.0,87.0,82.0,78.0,102.0,97.0,125.0,118.0,122.0,77.0,123.0,189.0,96.0,146.0,191.0,181.0,402.0,260.0,466.0,123.0,175.0,520.0,650.0,381.0,378.0,508.0,467.0,302.0
Kansas,54.0,65.0,71.0,77.0,67.0,85.0,51.0,150.0,61.0,64.0,102.0,55.0,47.0,56.0,63.0,92.0,137.0,88.0,77.0,133.0,84.0,177.0,335.0,216.0,249.0,107.0,209.0,194.0,210.0,494.0
Kentucky,84.0,73.0,15.0,147.0,139.0,9.0,232.0,104.0,132.0,177.0,149.0,112.0,85.0,162.0,85.0,134.0,93.0,185.0,253.0,90.0,143.0,180.0,175.0,231.0,126.0,169.0,72.0,229.0,163.0,170.0
Louisiana,1187.0,2728.0,1147.0,2201.0,514.0,1853.0,1417.0,746.0,1253.0,970.0,761.0,581.0,421.0,502.0,433.0,581.0,586.0,462.0,348.0,595.0,331.0,463.0,481.0,401.0,372.0,261.0,279.0,218.0,374.0,341.0
Maine,41.0,32.0,56.0,24.0,14.0,29.0,20.0,18.0,23.0,26.0,30.0,17.0,65.0,36.0,36.0,26.0,31.0,20.0,20.0,8.0,13.0,19.0,30.0,28.0,25.0,25.0,8.0,17.0,16.0,39.0
Maryland,323.0,346.0,427.0,367.0,484.0,436.0,326.0,1158.0,656.0,783.0,726.0,531.0,711.0,536.0,624.0,755.0,790.0,738.0,513.0,858.0,511.0,581.0,963.0,888.0,1151.0,820.0,910.0,626.0,742.0,883.0
Massachusetts,1118.0,1228.0,1436.0,1334.0,764.0,1337.0,1365.0,1588.0,2151.0,2033.0,1886.0,2615.0,1392.0,1296.0,1755.0,2263.0,2221.0,1970.0,1705.0,1566.0,1556.0,1745.0,3079.0,4946.0,2379.0,1590.0,1524.0,1840.0,1963.0,1940.0
Michigan,1663.0,1499.0,1878.0,1556.0,1408.0,1496.0,1722.0,1369.0,1155.0,1271.0,1209.0,641.0,994.0,1355.0,1049.0,1226.0,834.0,764.0,631.0,580.0,1007.0,1037.0,1280.0,1375.0,674.0,701.0,454.0,1012.0,974.0,905.0
Minnesota,60.0,53.0,47.0,76.0,70.0,51.0,83.0,85.0,88.0,93.0,92.0,194.0,29.0,45.0,114.0,103.0,159.0,142.0,143.0,114.0,97.0,154.0,221.0,243.0,261.0,156.0,214.0,365.0,463.0,492.0
Mississippi,136.0,104.0,181.0,97.0,183.0,100.0,177.0,88.0,257.0,209.0,173.0,139.0,161.0,145.0,273.0,264.0,169.0,181.0,300.0,238.0,204.0,178.0,259.0,281.0,284.0,193.0,183.0,248.0,227.0,246.0
Missouri,230.0,254.0,279.0,178.0,76.0,355.0,315.0,290.0,212.0,260.0,225.0,136.0,228.0,298.0,209.0,216.0,172.0,234.0,150.0,140.0,134.0,196.0,184.0,304.0,201.0,171.0,174.0,135.0,120.0,137.0
Montana,21.0,22.0,21.0,19.0,17.0,21.0,0.0,13.0,22.0,11.0,12.0,10.0,7.0,5.0,5.0,11.0,7.0,4.0,7.0,0.0,4.0,2.0,3.0,2.0,1.0,3.0,1.0,2.0,0.0,1.0
Nebraska,50.0,24.0,24.0,42.0,38.0,61.0,53.0,47.0,56.0,84.0,40.0,87.0,65.0,60.0,64.0,100.0,122.0,132.0,125.0,173.0,80.0,100.0,364.0,284.0,424.0,228.0,361.0,126.0,263.0,456.0
Nevada,166.0,179.0,91.0,209.0,122.0,91.0,130.0,217.0,138.0,150.0,114.0,140.0,176.0,101.0,75.0,109.0,203.0,102.0,84.0,120.0,107.0,144.0,127.0,190.0,141.0,99.0,70.0,104.0,122.0,119.0
New Hampshire,48.0,64.0,61.0,81.0,48.0,46.0,32.0,41.0,31.0,66.0,44.0,56.0,35.0,71.0,48.0,72.0,76.0,55.0,50.0,55.0,44.0,97.0,82.0,50.0,73.0,71.0,74.0,72.0,44.0,92.0
New Jersey,3559.0,3335.0,4305.0,4229.0,3381.0,3585.0,3326.0,3021.0,3590.0,3561.0,3563.0,3699.0,2734.0,4240.0,2206.0,4287.0,3150.0,2953.0,3881.0,3505.0,3581.0,3478.0,4124.0,2207.0,3327.0,3515.0,2150.0,2668.0,2408.0,2388.0
New Mexico,48.0,40.0,92.0,49.0,80.0,62.0,108.0,71.0,124.0,101.0,84.0,71.0,100.0,62.0,77.0,113.0,114.0,87.0,47.0,126.0,101.0,138.0,169.0,145.0,138.0,66.0,97.0,150.0,238.0,198.0
New York,8153.0,8996.0,10329.0,12274.0,8122.0,9304.0,8314.0,9568.0,10765.0,10794.0,10160.0,8435.0,6548.0,7402.0,11755.0,8631.0,7532.0,7249.0,6199.0,4867.0,4324.0,5659.0,6341.0,8286.0,10683.0,6013.0,4077.0,3285.0,4718.0,4702.0
North Carolina,64.0,267.0,235.0,309.0,183.0,285.0,350.0,203.0,228.0,255.0,404.0,210.0,268.0,204.0,131.0,340.0,396.0,281.0,353.0,271.0,187.0,269.0,388.0,444.0,496.0,282.0,205.0,533.0,379.0,560.0
North Dakota,21.0,12.0,14.0,13.0,21.0,18.0,12.0,14.0,18.0,9.0,15.0,15.0,23.0,10.0,24.0,28.0,46.0,89.0,57.0,42.0,17.0,35.0,30.0,39.0,55.0,64.0,75.0,49.0,42.0,34.0
Northern Mariana Islands,4.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ohio,349.0,355.0,409.0,427.0,304.0,407.0,333.0,366.0,364.0,366.0,372.0,354.0,370.0,305.0,511.0,623.0,693.0,1115.0,1380.0,1317.0,806.0,392.0,577.0,475.0,418.0,376.0,362.0,444.0,534.0,724.0
Oklahoma,153.0,160.0,110.0,170.0,92.0,75.0,144.0,53.0,160.0,111.0,74.0,102.0,99.0,115.0,79.0,94.0,108.0,105.0,29.0,81.0,127.0,87.0,123.0,103.0,73.0,60.0,27.0,130.0,63.0,145.0
Oregon,47.0,90.0,72.0,101.0,68.0,64.0,49.0,58.0,82.0,50.0,76.0,80.0,57.0,49.0,30.0,73.0,49.0,59.0,66.0,46.0,46.0,57.0,68.0,50.0,76.0,58.0,43.0,31.0,61.0,64.0
Pennsylvania,808.0,1216.0,1399.0,1690.0,1480.0,1485.0,1507.0,1832.0,1965.0,1749.0,1646.0,1181.0,1340.0,1296.0,1213.0,1510.0,1807.0,1621.0,1250.0,1013.0,1379.0,1379.0,1571.0,1964.0,1328.0,1083.0,1019.0,1595.0,868.0,2033.0
Puerto Rico,47.0,30.0,62.0,74.0,23.0,38.0,60.0,47.0,63.0,42.0,63.0,109.0,6.0,20.0,51.0,69.0,25.0,50.0,95.0,39.0,0.0,0.0,315.0,46.0,31.0,64.0,17.0,12.0,65.0,72.0
Rhode Island,78.0,91.0,54.0,95.0,116.0,160.0,147.0,221.0,277.0,288.0,334.0,316.0,311.0,275.0,278.0,309.0,339.0,314.0,215.0,384.0,410.0,341.0,415.0,443.0,430.0,310.0,269.0,218.0,321.0,374.0
South Carolina,210.0,261.0,146.0,217.0,132.0,183.0,185.0,135.0,240.0,273.0,142.0,112.0,120.0,114.0,103.0,275.0,155.0,160.0,131.0,62.0,169.0,153.0,156.0,153.0,183.0,237.0,123.0,122.0,146.0,214.0
South Dakota,22.0,36.0,22.0,25.0,28.0,48.0,32.0,73.0,54.0,89.0,90.0,103.0,138.0,120.0,181.0,143.0,100.0,130.0,94.0,50.0,70.0,103.0,98.0,84.0,107.0,66.0,33.0,68.0,61.0,75.0
Tennessee,640.0,179.0,164.0,233.0,273.0,215.0,257.0,236.0,210.0,337.0,190.0,161.0,339.0,171.0,210.0,213.0,346.0,201.0,200.0,170.0,323.0,364.0,488.0,449.0,300.0,517.0,304.0,235.0,281.0,251.0
Texas,814.0,550.0,821.0,793.0,551.0,1033.0,818.0,929.0,1475.0,919.0,917.0,568.0,711.0,816.0,803.0,822.0,1203.0,796.0,514.0,594.0,914.0,820.0,937.0,944.0,844.0,715.0,754.0,905.0,971.0,1233.0
Utah,125.0,65.0,171.0,178.0,192.0,44.0,75.0,123.0,120.0,123.0,105.0,97.0,63.0,52.0,129.0,138.0,126.0,129.0,129.0,142.0,88.0,150.0,170.0,161.0,168.0,173.0,113.0,107.0,156.0,173.0
Vermont,28.0,17.0,51.0,72.0,51.0,31.0,32.0,30.0,23.0,51.0,32.0,16.0,21.0,4.0,7.0,9.0,11.0,24.0,9.0,4.0,2.0,5.0,2.0,2.0,16.0,8.0,4.0,7.0,0.0,4.0
Virgin Islands,0.0,7.0,1.0,4.0,0.0,1.0,2.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,7.0,0.0
Virginia,262.0,195.0,305.0,397.0,228.0,241.0,455.0,312.0,397.0,468.0,567.0,197.0,473.0,427.0,329.0,389.0,601.0,561.0,483.0,453.0,640.0,636.0,734.0,596.0,770.0,604.0,565.0,804.0,623.0,885.0
Washington,296.0,997.0,381.0,532.0,486.0,400.0,298.0,415.0,511.0,279.0,339.0,187.0,133.0,164.0,95.0,374.0,299.0,371.0,14.0,391.0,155.0,196.0,375.0,216.0,368.0,179.0,214.0,207.0,325.0,324.0
West Virginia,29.0,26.0,25.0,40.0,43.0,22.0,66.0,70.0,41.0,13.0,56.0,22.0,23.0,59.0,28.0,14.0,37.0,49.0,65.0,18.0,21.0,10.0,42.0,29.0,15.0,29.0,24.0,18.0,14.0,16.0
Wisconsin,201.0,178.0,186.0,196.0,155.0,173.0,138.0,178.0,129.0,183.0,145.0,128.0,87.0,127.0,166.0,154.0,170.0,154.0,147.0,153.0,121.0,225.0,207.0,304.0,331.0,224.0,170.0,208.0,231.0,334.0
Wyoming,17.0,16.0,13.0,22.0,11.0,13.0,8.0,9.0,73.0,17.0,23.0,21.0,9.0,0.0,19.0,1.0,8.0,11.0,10.0,4.0,16.0,5.0,6.0,20.0,4.0,25.0,18.0,16.0,8.0,15.0
